40 20 54 528
D 11 6 0 15
D 26 9 0 15
D 18 12 0 14
D 18 7 0 14
U 34 15 0 15
H 37 8 10 15
D 10 7 0 14
U 4 6 0 15
U 5 4 0 15
D 16 14 0 14
D 21 2 0 14
D 10 6 0 13
D 11 7 0 14
D 10 9 0 13
D 28 10 0 14
D 15 4 0 14
D 29 11 0 14
G 25 0 0 14
H 34 7 10 14
D 20 2 0 13
D 22 12 0 13
D 20 10 0 14
D 28 13 0 13
D 12 3 0 13
D 21 1 0 12
D 12 5 0 13
D 29 7 0 13
D 23 11 0 12
D 16 15 0 12
D 15 5 0 12
D 10 8 0 13
D 23 12 0 13
H 35 6 10 13
D 30 8 0 12
D 29 9 0 11
D 29 10 0 11
D 29 12 0 12
D 20 12 0 11
D 15 14 0 11
D 20 1 0 12
D 30 7 0 12
D 11 8 0 12
D 9 7 0 12
H 34 9 10 12
D 28 8 0 11
D 9 10 0 11
D 16 0 0 11
D 12 13 0 11
D 8 7 0 12
D 11 12 0 12
D 20 6 0 11
U 35 17 0 12
D 13 8 0 12
D 13 13 0 11
D 21 10 0 11
D 14 2 0 10
D 29 8 0 11
D 15 3 0 11
D 29 13 0 11
D 10 10 0 11
U 30 16 0 11
D 30 6 0 11
D 18 2 0 10
D 21 11 0 11
D 15 16 0 11
D 15 1 0 10
U 6 5 0 11
D 30 9 0 11
D 10 15 0 10
U 35 19 0 11
D 24 13 0 11
D 11 1 0 11
D 8 8 0 10
D 22 11 0 11
D 25 12 0 10
U 32 14 0 11
D 13 18 0 10
D 9 9 0 10
D 22 10 0 10
D 18 14 0 9
U 1 7 0 10
D 31 6 0 9
D 32 8 0 10
U 9 4 0 10
D 19 1 0 10
U 26 14 0 10
D 11 2 0 9
D 24 11 0 9
N 27 3 99 10
D 26 13 0 9
D 22 1 0 9
D 9 8 0 8
D 15 15 0 9
D 13 6 0 9
D 24 12 0 8
D 19 13 0 9
D 19 2 0 8
D 10 14 0 9
D 31 8 0 9
D 21 13 0 8
D 18 16 0 9
D 30 10 0 9
D 12 16 0 9
D 8 6 0 9
D 15 2 0 9
D 12 10 0 9
D 15 17 0 9
D 10 4 0 8
D 30 11 0 9
D 19 12 0 9
D 17 15 0 8
D 13 17 0 7
D 32 6 0 8
D 10 13 0 8
D 18 1 0 7
D 16 16 0 8
D 16 1 0 7
D 17 1 0 7
D 20 13 0 7
D 25 13 0 7
D 14 1 0 8
D 24 2 0 8
D 19 15 0 8
D 24 15 0 7
D 14 17 0 7
D 14 18 0 8
U 37 16 0 8
D 28 6 0 8
U 22 13 0 8
U 23 14 0 8
D 9 15 0 7
D 8 14 0 7
D 20 11 0 6
D 21 12 0 6
D 9 11 0 7
D 9 6 0 6
D 23 10 0 6
H 34 10 10 7
D 25 14 0 7
D 20 16 0 7
D 11 11 0 7
D 21 0 0 7
D 9 13 0 7
D 29 5 0 6
D 23 1 0 7
D 23 0 0 7
D 7 6 0 7
D 10 3 0 7
G 4 8 0 7
U 37 15 0 7
D 13 1 0 7
D 19 14 0 7
D 25 2 0 7
D 16 18 0 6
D 9 12 0 6
D 29 6 0 6
D 12 11 0 5
D 9 14 0 6
D 13 0 0 5
D 32 7 0 6
D 8 10 0 5
D 30 5 0 5
D 7 7 0 5
D 18 13 0 5
U 34 12 0 6
D 10 2 0 6
D 33 6 0 5
D 29 4 0 5
D 31 7 0 5
D 15 19 0 5
D 10 12 0 6
D 19 0 0 6
D 16 17 0 6
H 35 5 10 6
N 26 3 99 6
D 28 3 0 5
U 8 4 0 6
D 14 16 0 5
D 11 13 0 5
D 20 0 0 5
D 15 0 0 5
D 12 15 0 4
D 21 16 0 5
D 28 4 0 4
D 8 5 0 5
D 11 3 0 5
D 31 5 0 5
D 11 14 0 5
D 6 7 0 4
D 14 10 0 5
D 10 16 0 5
H 34 5 10 5
D 7 11 0 5
D 20 15 0 5
D 11 15 0 5
D 22 0 0 4
D 17 19 0 5
D 13 16 0 5
U 5 6 0 5
U 3 2 0 5
D 23 15 0 4
D 22 14 0 4
D 18 0 0 3
D 13 2 0 3
D 32 5 0 4
D 8 9 0 3
D 19 17 0 4
D 10 11 0 4
D 17 18 0 4
D 33 5 0 4
D 18 17 0 3
D 8 11 0 4
D 29 3 0 4
D 15 18 0 4
U 6 0 0 4
D 7 5 0 3
U 34 13 0 4
D 30 4 0 3
D 12 14 0 4
D 15 10 0 4
D 7 8 0 3
D 12 2 0 3
D 32 4 0 3
U 35 14 0 4
D 34 6 0 2
D 33 9 0 3
D 9 1 0 2
D 17 0 0 3
D 9 5 0 3
D 6 6 0 3
D 11 16 0 3
D 21 15 0 2
D 17 17 0 3
D 11 17 0 3
D 32 10 0 3
D 33 3 0 2
D 21 14 0 3
D 8 15 0 3
D 22 16 0 2
D 7 16 0 2
D 31 9 0 3
D 13 10 0 2
D 20 14 0 3
D 8 16 0 3
D 8 12 0 2
D 27 2 0 3
U 26 17 0 3
D 24 4 0 2
U 5 7 0 3
D 14 0 0 3
D 14 15 0 3
D 14 11 0 3
D 16 19 0 2
D 22 15 0 2
D 8 0 0 2
D 15 8 0 1
D 29 2 0 1
D 7 9 0 2
D 8 2 0 2
D 31 10 0 1
D 7 12 0 1
D 28 1 0 2
D 14 9 0 1
D 13 14 0 2
D 31 4 0 2
D 13 9 0 1
D 24 16 0 2
U 36 13 0 2
D 17 12 0 1
D 25 1 0 1
D 24 1 0 1
D 12 0 0 2
D 6 8 0 1
U 8 1 0 2
U 3 10 0 2
U 9 2 0 2
D 11 5 0 1
U 0 8 0 2
D 14 14 0 2
D 14 19 0 2
D 18 19 0 2
D 26 2 0 1
D 16 13 0 0
D 19 16 0 1
D 18 18 0 1
D 10 1 0 1
U 1 11 0 1
D 13 11 0 0
U 36 18 0 1
D 32 9 0 0
D 12 1 0 0
H 35 11 10 1
D 10 5 0 1
D 10 17 0 0
D 12 17 0 1
D 31 11 0 1
D 16 7 0 1
D 30 2 0 0
D 6 9 0 0
D 7 13 0 1
D 27 1 0 0
D 15 13 0 1
U 29 16 0 0
D 15 11 0 0
D 14 12 0 0
D 18 10 0 0
D 21 4 0 0
D 18 11 0 0
U 1 4 0 0
H 38 7 10 0
D 14 13 0 0
D 9 16 0 0
D 12 19 0 0
D 12 18 0 0
D 25 16 0 0
D 7 15 0 0
D 28 2 0 0
H 34 4 10 0
D 9 0 0 0
D 6 16 0 0
D 32 11 0 0
D 6 11 0 0
D 5 8 0 0
D 29 1 0 0
D 5 9 0 0
